Eel,Exposure,Date,Image,Observer,Eel_Total,Eel_Snout_Vent,Tube_Length,Crevice_Length,Anchor_Type,Body_Number,A1_Length,A1_Length_Prop,A1_Midpoint_Tube,A1_Tube_Prop,A1_Midpoint_Body,A1_Body_Prop,Origin_to_One,Origin_One_Prop,A2_Length ,A2_Length_Prop,A2_Midpoint_Tube,A2_Tube_Prop,A2_Midpoint_Body,A2_Body_Prop,One_to_Two,One_Two_Prop,A3_Length,A3_Length_Prop,A3_Midpoint_Tube,A3_Tube_Prop,A3_Midpoint_Body,A3_Body_Prop,Two_to_Three,Two_Three_Prop,A4_Length,A4_Length_Prop,A4_Midpoint_Tube,A4_Tube_Prop,A4_Midpoint_Body,A4_Body_Prop,Tail_Anchor_Point ,Tail_Anchor_Point_Prop ,TrueTail
Snickers,2,7/13/24,Snickers2_Body_A,Sacha,51.6,25.2,29,23.52,body,2,2.18,0.042248062,10.54,0.448129252,10.62,0.418253968,10.62,0.421428571,2.74,0.053100775,15.61,0.663690476,17.18,0.681746032,7.094,0.281507937,,,,,,,,,,,,,,,,,
Horatio,3,7/15/24,Horatio3_Body_B,Avery,61,31,34.3,30.149,body,2,7.83,0.128360656,12.7,0.421241169,13.036,0.409677419,13.036,0.420516129,6.26,0.102622951,21.7,0.719758533,22.05,0.711290323,11.43,0.368709677,,,,,,,,,,,,,,,30.72,0.503606557,no
Snickers,2,7/13/24,Snickers2_Body_B,Sacha,51.6,25.2,29,25.17,body,2,2.97,0.05755814,11.36,0.45133095,11.89,0.450793651,11.89,0.471825397,3.68,0.071317829,18.88,0.750099325,20.44,0.811111111,7.404,0.293809524,,,,,,,,,,,,,,,,,
Bert,3,7/23/24,Bert3_Body_A,Sacha,48,24,29,24.66,body,2,2.42,0.050416667,11.76,0.476885645,12.33,0.49,12.33,0.51375,3.38,0.070416667,18.81,0.762773723,20.4,0.85,8.51,0.354583333,,,,,,,,,,,,,,,,,
Bert,5,2-Sep,Bert5_Body_A,Maya,48,24,29,26,body,2,NA,,NA,,NA,,NA,NA,4.208,0.087666667,20.054,0.771307692,21.924,0.9135,9.594,0.39975,,,,,,,,,,,,,,,,,
Ernie,1,22-Jul,Ernie1_Body_B,Maya,52.5,26,29,26.479,both,2,3.812,0.072609524,14.02,0.529476189,14.783,0.539230769,14.783,0.568576923,2.182,0.041561905,20.584,0.777370747,23.37,0.898846154,NA,NA,,,,,,,,,,,,,,,31.021,0.59087619,yes
Eelvis,5,2-Sep,Eelvis5_Body_A,Maya,43.5,21.5,24.5,22.217,body,2,6.419,0.147563218,8.221,0.370031958,4.451,0.382372093,4.451,0.207023256,4.233,0.097310345,17.732,0.79812756,20.987,0.976139535,6.204,0.28855814,,,,,,,,,,,,,,,,,
Snickers,3,22-Jul,Snickers3_Body_A,Maya,51.6,25.2,29,25.705,both,2,1.919,0.037189922,12.984,0.505115736,14.204,0.515238095,14.204,0.563650794,4.857,0.094127907,20.591,0.801050379,21.286,0.84468254,16.835,0.668055556,,,,,,,,,,,,,,,30.355,0.588275194,yes
Horatio,5,,Horatio5_body_a,Sacha,61,31,34.3,29.92,body,2,3.17,0.051967213,14.82,0.495320856,15.54,0.478064516,15.54,0.501290323,2.44,0.04,24.12,0.806149733,26.84,0.865806452,12.636,0.407612903,,,,,,,,,,,,,,,36.27,0.594590164,yes
Bill,5,16-Sep,Bill5_Tail_A,Sophia,69,32.5,37.2,35.082,both,2,4.732,0.06857971,14.499,0.413288866,16.607,0.446123077,16.607,0.510984615,2.784,0.040347826,28.836,0.821959979,31.465,0.968153846,15.925,0.49,,,,,,,,,,,,,,,NA,NA,
Snickers,4,5-Aug,Snickers4_Body_A,Maya,51.6,25.2,29,24.194,body,2,4.444,0.086124031,10.978,0.453748863,12.686,0.435634921,12.686,0.503412698,6.51,0.126162791,19.917,0.823220633,22.787,0.904246032,6.18,0.245238095,,,,,,,,,,,,,,,,,
Bill,2,19-Aug,Bill2_Body_a,Avery,69,32.5,37.2,34.9,body,2,7.19,0.104202899,20.5,0.58739255,22.4,0.630769231,22.4,0.689230769,4.55,0.065942029,29.7,0.851002865,31.26,0.961846154,18.574,0.571507692,,,,,,,,,,,,,,,35.84,0.51942029,yes
Snickers,1,6/24/24,Snickers1_Body_B,Sacha,51.6,25.2,29,26.65,body,2,3.56,0.068992248,13.64,0.511819887,13.26,0.541269841,13.26,0.526190476,2.81,0.054457364,22.96,0.861538462,23.83,0.945634921,1.43,0.056746032,,,,,,,,,,,,,,,,,
Bert,2,6/13/24,Bert2_Body_A,Sacha,48,24,29,24.18,body,2,3.5,0.072916667,12.6,0.508474576,13.77,0.525,13.77,0.57375,2.51,0.052291667,21.489,0.867191283,22.9,0.954166667,9.64,0.401666667,,,,,,,,,,,,,,,34.3,0.714583333,yes
Hamlet,3,29-Jul,Hamlet3_Body_A,Maya,62,31,34.3,30.196,body,2,7.553,0.121822581,16.81,0.556696251,19.485,0.542258065,19.485,0.628548387,6.02,0.097096774,26.537,0.87882501,29.55,0.953225806,15.78,0.509032258,,,,,,,,,,,,,,,,,
Eelvis,2,8-Jul,Eelvis2_Body_A,Maya,43.5,21.5,24.5,22.215,body,2,3.086,0.070942529,7.721,0.347557956,NA,,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,
Horatio,3,7/15/14,Horatio3_Body_A,Avery,61,31,34.3,28.06,body,1,5.899,0.096704918,13.34,0.475409836,13.16,0.430322581,13.16,0.424516129,,,,,,,,,,,,,,,,,,,,,,,29.544,0.484327869,no
Hamlet,1,6/3/24,Hamlet1_Body_A,Sacha,62,31,34.3,30.35,body,1,4.12,0.066451613,16.07,0.529489292,16.48,0.518387097,16.48,0.531612903,,,,,,,,,,,,,,,,,,,,,,,32.4,0.522580645,yes
Bill,1,7/15/24,Bill1_body_a,Avery,69,32.5,37.2,29.775,body,1,9.775,0.141666667,18,0.604534005,16.78,0.553846154,16.78,0.516307692,, ,,,,,,,,,,,,,,,,,,,,,31.8,0.460869565,no
Bill,1,7/15/24,Bill1_body_a,Avery,69,32.5,37.2,29.5,tail,1,7.12,0.103188406,20.6,0.698305085,20.98,0.633846154,20.98,0.645538462,,,,,,,,,,,,,,,,,,,,,,,35.15,0.50942029,yes
Ernie,4,2-Sep,Ernie4_Tail_a,Avery,52.5,26,29,24.8,tail,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.1,0.478095238,no
Bert,5,2-Sep,Bert5_Tail_A,Maya,48,24,29,26.388,tail,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.746,0.557208333,yes
Bert,5,2-Sep,Bert5_Tail_B,Maya,48,24,29,25.122,tail,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.331,0.527729167,yes
Eelvis,5,2-Sep,Eelvis5_Tail_A,Maya,43.5,21.5,24.5,21.856,tail,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.231,0.534045977,yes
Eelvis,5,2-Sep,Eelvis5_Tail_B,Maya,43.5,21.5,24.5,22.084,tail,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.025,0.552298851,yes
Hamlet,5,9/2/24,Hamlet5_Tail_A,Sacha,62,31,34.3,30.51,tail,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.24,0.487741935,no
Snickers,5,2-Sep,Snickers5_Tail_A,Maya,51.6,25.2,29,26.206,tail,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.711,0.556414729,yes
Snickers,5,2-Sep,Snickers5_Tail_B,Maya,51.6,25.2,29,24.886,tail,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.638,0.555,yes
SpaghettiO,5,2-Sep,SpaghettiO5_Tail_A,Maya,58,30,34.3,31.105,tail,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.675,0.615086207,yes
SpaghettiO,5,2-Sep,SpaghettiO5_Tail_B,Maya,58,30,34.3,30.415,tail,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.442,0.576586207,yes
Bill,5,16-Sep,Bill5_Tail_B,Sophia,69,32.5,37.2,33.664,tail,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.9,0.491304348,yes
Bert,4,5-Aug,Bert4_Tail_a,Avery,48,24,29,26.5,tail,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.26,0.547083333,yes
Bill,4,9/16/24,Bill4_Tail_A,Sacha,69,32.5,37.2,32.83,tail,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.83,0.490289855,yes
Bill,4,9/16/24,Bill4_Tail_B,Sacha,69,32.5,37.2,32.56,tail,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.88,0.505507246,no
Bill,4,9/16/24,Bill4_Tail_C,Sacha,69,32.5,37.2,32.475,tail,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.6,0.515942029,yes
Eelvis,4,5-Aug,Eelvis4_Tail_A,Maya,43.5,21.5,24.5,21.358,tail,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.035,0.52954023,yes
Eelvis,4,5-Aug,Eelvis4_Tail_B,Maya,43.5,21.5,24.5,21.683,tail,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.12,0.554482759,yes
Hamlet,4,8/19/24,Hamlet4_Tail_a,Avery,62,31,34.3,28.9,tail,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.68,0.49483871,no
Horatio,4,29-Jul,Horatio4_Tail_A,Maya,61,31,34.3,30.617,tail,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.427,0.531590164,yes
Snickers,4,5-Aug,Snickers4_Tail_A,Maya,51.6,25.2,29,25.172,tail,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.456,0.532093023,yes
SpaghettiO,4,19-Aug,SpaghettiO4_Tail_A,Maya,58,30,34.3,30.718,tail,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.5,0.577586207,yes
SpaghettiO,4,19-Aug,SpaghettiO4_Tail_B,Maya,58,30,34.3,29.959,tail,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.605,0.700086207,yes
Bert,3,7/23/24,Bert3_Tail_A,Sacha,48,24,29,23.87,tail,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.05,0.521875,no
Bert,3,7/23/24,Bert3_Tail_B,Sacha,48,24,29,23.69,tail,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.997,0.4999375,yes
Bill,3,9/2/24,Bill3_Tail_A,Sacha,69,32.5,37.2,33.45,tail,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.45,0.484782609,yes
Eelvis,3,22-Jul,Eelvis3_Tail_A,Maya,43.5,21.5,24.5,21.686,tail,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.734,0.499632184,yes
Eelvis,3,22-Jul,Eelvis3_Tail_B,Maya,43.5,21.5,24.5,22.039,tail,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.118,0.50845977,yes
Hamlet,3,29-Jul,Hamlet3_Tail_A,Maya,62,31,34.3,29.888,tail,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.325,0.505241935,yes
Hamlet,3,29-Jul,Hamlet3_Tail_B,Maya,62,31,34.3,30.138,tail,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.532,0.524709677,yes
Horatio,3,7/15/24,Horatio3_tail_a,Avery,61,31,34.3,28.33,tail,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.45,0.482786885,no
Snickers,3,22-Jul,Snickers3_Tail_A,Maya,51.6,25.2,29,26.426,tail,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.983,0.600445736,yes
Snickers,3,22-Jul,Snickers3_Tail_B,Maya,51.6,25.2,29,26.985,tail,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.551,0.572693798,yes
SpaghettiO,3,29-Jul,SpaghettiO3_Tail_A,Maya,58,30,34.3,29.641,tail,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.307,0.522534483,yes
Ernie,3,19-Aug,Ernie3_Tail_A,Sophia,52.5,26,29,25.307,tail,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.482,0.504419048,yes
Bert,2,6/13/24,Bert2_Tail_B,Sacha,48,24,29,24.75,tail,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.789,0.5164375,yes
Bert,2,6/13/24,Bert2_Tail_A,Sacha,48,24,29,24.9,tail,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.6,0.533333333,no
Bill,2,8/20/24,Bill2_Tail_A,Avery,69,32.5,37.2,30.6,tail,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.36,0.483478261,no
Eelvis,2,8-Jul,Eelvis2_Tail_A,Maya,43.5,21.5,24.5,22.227,tail,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.609,0.519747126,yes
Ernie,2,8/7/24,Ernie2_Tail_A,Sacha,52.5,26,29,25.5,tail,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.38,0.50247619,yes
Ernie,2,8/7/24,Ernie2_Tail_B,Sacha,52.5,26,29,25.82,tail,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.61,0.487809524,yes
Ernie,2,8/7/24,Ernie2_Tail_C,Sacha,52.5,26,29,25.12,tail,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.48,0.504380952,yes
Horatio,2,7/1/24,Horatio2_tail_a,Sophia,61,31,34.3,30.828,tail,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.178,0.494721311,yes
Snickers,2,7/13/24,Snickers2_Tail_A,Sacha,51.6,25.2,29,24.81,tail,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.25,0.46996124,no
Snickers,2,7/13/24,Snickers2_Tail_B,Sacha,51.6,25.2,29,25.04,tail,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.34,0.510465116,yes
SpaghettiO,2,15-Jul,SpaghettiO2_Tail_A,Maya,58,30,34.3,30.956,tail,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.711,0.581224138,yes
Hamlet,2,15-Jul,Hamlet2_Tail_A,Sophia,62,31,34.3,29.859,tail,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.385,0.52233871,yes
Horatio,2,1-Jul,Horatio2_Tail_B,Sophia,61,31,34.3,30.817,tail,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.005,0.524672131,yes
Ernie,1,22-Jul,Ernie1_Tail_A,Maya,52.5,26,29,24.466,tail,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.294,0.519885714,yes
Hamlet,1,6/3/24,Hamlet1_Tail_A,Sacha,62,31,34.3,29.24,tail,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.26,0.536451613,yes
Hamlet,1,6/3/24,Hamlet1_Tail_B,Sacha,62,31,34.3,30.17,tail,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.6,0.412903226,no
Snickers,1,6/24/24,Snickers1_Tail_A,Sacha,51.6,25.2,29,25.46,tail,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.87,0.501356589,no
SpaghettiO,1,1-Jul,SpaghettiO1_Tail_A,Maya,58,30,34.3,30.148,tail,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.164,0.537310345,yes
